# Generated by plot_tbld_pj.py 
# Description:
#   MWR time depdent, T^2_b
# Using:
#   mwr_zonal_average.txt
#   ch1_gfilter.txt
#   ch2_gfilter.txt
#   ch3_gfilter.txt
#   ch4_gfilter.txt
#   ch5_gfilter.txt
#   ch6_gfilter.txt

# CH1 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
    -44.99      2.51      0.50      0.83      3.26      7.30     -5.81      0.55      0.12     -4.74
    -44.20      2.40     -1.24      0.34      2.86      7.79     -7.06      1.07      0.72     -4.67
    -43.41      1.99     -2.80     -0.45      2.56      7.91     -7.54      1.54      1.32     -4.48
    -42.61      1.54     -3.41     -1.37      2.42      7.16     -7.15      1.47      1.51     -4.69
    -41.81      1.19     -2.75     -1.75      2.57      5.93     -6.29      1.32      1.40     -5.32
    -41.01      1.12     -0.89     -1.54      2.75      4.52     -5.85      0.77      0.91     -5.82
    -40.23      1.57      1.10     -0.50      2.61      3.41     -5.81      0.44      0.30     -5.81
    -39.45      2.05      3.35      1.07      2.10      2.57     -5.97      0.47     -0.30     -5.38
    -38.68      2.36      4.14      2.71      1.26      1.96     -5.71      0.79     -0.70     -4.77
    -37.92      2.05      3.82      3.96      0.47      1.46     -4.96      1.18     -0.93     -4.09
    -37.17      1.23      2.40      4.42     -0.04      1.07     -3.63      1.63     -0.96     -3.48
    -36.42      0.07      0.58      3.93     -0.18      0.84     -2.00      1.76     -0.91     -3.09
    -35.69     -0.78     -0.52      2.49      0.03      0.84     -0.59      1.79     -0.77     -3.06
    -34.95     -0.86     -0.56      0.42      0.26      0.87      0.21      1.54     -0.66     -3.13
    -34.23     -0.16      0.65     -1.57      0.48      0.85     -0.04      1.50     -0.48     -3.17
    -33.51      0.97      2.22     -2.72      0.71      0.57     -1.02      1.36     -0.26     -3.04
    -32.80      2.11      3.56     -2.51      0.87      0.14     -2.17      1.22     -0.01     -2.90
    -32.09      3.05      4.84     -1.09      0.62     -0.15     -2.59      0.77      0.02     -2.68
    -31.39      3.65      5.90      0.87     -0.37      0.04     -2.06      0.02     -0.36     -2.45
    -30.69      3.96      6.51      2.46     -1.60      0.77     -0.92     -0.90     -1.19     -2.12
    -30.00      4.01      6.68      2.88     -2.19      1.56      0.11     -1.82     -2.21     -1.67
    -29.31      3.85      6.37      2.04     -1.67      1.71      0.49     -2.36     -3.03     -1.08
    -28.63      3.32      5.75      0.61     -0.63      0.97      0.22     -2.62     -3.33     -0.56
    -27.95      2.67      5.14     -0.37     -0.04     -0.24     -0.21     -2.90     -3.11     -0.63
    -27.28      2.36      4.70     -0.35     -0.23     -1.01     -0.25     -3.38     -2.59     -1.48
    -26.61      2.87      4.21      0.32     -0.72     -0.92      0.32     -3.96     -1.99     -2.73
    -25.94      3.79      3.49      1.00     -0.94     -0.27      1.66     -4.21     -1.55     -3.56
    -25.28      4.18      2.68      1.27     -0.82      0.19      4.00     -3.83     -1.53     -3.61
    -24.62      3.80      2.06      1.32     -0.70      0.21      7.37     -2.81     -1.98     -3.30
    -23.97      3.43      1.79      1.34     -0.82      0.17     10.94     -1.36     -2.53     -3.40
    -23.32      3.89      1.79      1.40     -1.00      0.41     13.90      0.05     -2.47     -4.22
    -22.67      4.91      1.98      1.53     -0.86      0.84     16.09      1.14     -1.38     -5.23
    -22.02      5.33      2.14      1.74     -0.24      1.00     18.07      1.85      0.02     -5.45
    -21.38      4.74      2.20      2.13      0.29      0.95     19.86      2.14      0.49     -4.80
    -20.74      4.18      2.21      2.51      0.55      1.00     21.26      2.10     -0.36     -3.74
    -20.11      4.76      2.26      2.75      0.76      1.28     22.37      1.67     -1.39     -3.27
    -19.47      5.68      2.10      2.64      0.78      1.47     23.50      0.95     -1.15     -3.27
    -18.84      5.71      1.44      2.14      0.14      1.11     24.36      0.22     -0.05     -3.27
    -18.21      5.22      0.46      1.64     -0.79      0.29     25.07     -0.17      0.31     -2.70
    -17.58      5.11     -0.15      1.62     -1.07     -0.54     26.21     -0.36     -1.05     -2.01
    -16.96      4.99      0.25      1.98     -1.11     -0.76     27.54     -0.75     -2.86     -1.87
    -16.33      4.10      0.29      1.92     -1.71     -0.40     27.24     -1.28     -3.40     -2.46
    -15.71      3.30     -1.89      1.53     -2.24      0.04     24.42     -1.45     -2.70     -2.93
    -15.09      3.36     -6.49      1.61     -2.04     -0.13     20.13     -1.62     -2.90     -3.08
    -14.48      3.72    -10.39      2.32     -1.49     -0.27     15.66     -2.32     -4.48     -3.11
    -13.86      4.04    -10.44      2.48     -1.20     -0.08     10.66     -3.13     -5.28     -3.29
    -13.25      3.99     -6.19      1.88     -1.37      0.42      6.04     -2.90     -3.67     -3.28
    -12.64      3.98     -1.18      1.82     -1.80      0.10      3.42     -1.83     -1.60     -3.23
    -12.02      4.48      1.45      2.30     -1.72     -0.63      2.30     -1.45     -1.16     -3.40
    -11.42      4.64      1.68      2.45     -1.44     -0.49      1.26     -2.02     -1.36     -3.09
    -10.81      4.50      1.21      2.17     -1.39     -0.05      0.57     -2.44     -1.06     -2.14
    -10.20      4.62      1.58      1.85     -1.45     -0.28      0.33     -2.04     -1.00     -1.25
     -9.59      4.89      2.45      1.58     -1.53     -0.60      0.21     -1.87     -1.56     -1.45
     -8.99      4.96      3.05      1.74     -0.89      0.13      0.01     -1.91     -1.58     -2.07
     -8.39      4.94      3.25      2.02     -1.09      0.82      0.11     -2.08     -1.36     -1.97
     -7.78      4.99      3.05      1.89     -1.11      0.21      0.06     -2.02     -2.01     -1.96
     -7.18      4.87      3.06      1.43     -0.92     -0.67     -0.52     -2.07     -3.17     -2.58
     -6.58      4.71      2.99      1.39     -0.85     -0.57     -0.39     -2.15     -2.99     -3.01
     -5.98      4.38      2.95      1.77      0.12      0.24     -0.49     -2.50     -1.63     -2.84
     -5.38      5.18      2.65      1.71      0.19      0.34     -0.05     -3.23     -1.50     -2.76
     -4.78      5.17      2.06      1.10      0.55     -0.55     -0.46     -2.90     -2.17     -2.85
     -4.18      5.08      1.66      0.86     -0.27     -0.52     -0.44     -2.53     -2.32     -2.66
     -3.58      5.28      1.55      0.65      0.23     -0.54      0.18     -2.24     -2.35     -2.15
     -2.99      5.30      2.28      1.17      0.18      0.00     -1.09     -2.88     -1.76     -1.91
     -2.39      5.40      2.17      1.67      0.59      0.05     -0.30     -3.92     -1.21     -1.94
     -1.79      4.98      1.80      1.55     -0.39      0.03     -1.84     -3.63     -1.29     -2.32
     -1.19      4.58      2.06      1.13      0.16      0.79     -1.40     -3.66     -1.60     -2.77
     -0.60      4.39      1.97      0.94     -0.21      0.66     -1.06     -3.01     -2.55     -3.87
      0.00      4.38      1.55      0.79      0.57      1.73     -0.57     -2.91     -2.10     -4.60
      0.60      4.20      1.10      0.33      0.30      1.22      0.66     -4.32     -2.86     -5.17
      1.19      4.10      1.43      0.31     -0.32      2.15     -0.57     -4.35     -3.13     -5.73
      1.79      3.65      2.03      0.62     -0.23      2.60     -0.69     -6.33     -2.89     -4.96
      2.39      4.51      2.59      0.59     -0.83      2.75     -1.32     -6.29     -3.08     -4.39
      2.99      5.09      2.24      0.41     -0.11      2.53     -0.87     -6.99     -2.80     -4.13
      3.58      4.82      2.48      0.50     -0.30      1.58     -2.10     -6.87     -4.00     -4.20
      4.18      4.72      1.77      1.00     -0.28      2.28     -2.72     -6.10     -3.31     -5.87
      4.78      4.07      1.37      1.15     -0.34      1.97     -3.75     -6.83     -4.62     -6.25
      5.38      4.35      1.47      1.36     -1.56      2.43     -2.38     -6.88     -4.14     -7.66
      5.98      4.48      0.94      1.25     -1.55      2.56     -2.38     -7.24     -4.51     -7.16
      6.58      4.53      1.94      1.74     -1.99      2.75     -0.65     -5.93     -4.59     -6.91
      7.18      4.97      2.19      2.49     -0.94      2.88      0.20     -4.09     -2.99     -5.75
      7.78      3.55      0.07      2.31     -0.48      2.31      0.89     -1.27     -1.93     -3.75
      8.39      1.75     -3.28      1.49     -2.12      2.80      0.70      0.89      0.82     -2.20
      8.99      1.65     -4.67      0.61     -7.20      2.20      0.05      2.28      0.35     -0.50
      9.59      1.33     -1.65      1.02    -10.04      3.17     -0.63      0.92      1.22     -0.90
     10.20      2.52      1.57     -3.57     -9.12      2.21     -0.53      0.25     -0.82     -1.13
     10.81      3.12      1.96    -11.97     -4.16      2.47     -5.23      0.09     -1.08     -1.82
     11.42      3.98      1.07    -14.46     -2.57      0.71    -12.60     -0.33     -1.72     -1.53
     12.02      4.67      1.46     -8.80     -1.51      0.14    -13.57     -1.26     -0.91     -1.07
     12.64      4.34      2.02     -0.72     -2.26     -0.50     -9.39     -1.73     -0.80     -2.16
     13.25      3.49      1.93      1.37     -1.63      0.15     -0.09     -0.96     -0.98     -4.42
     13.86      2.80      1.15      0.55     -2.23     -0.39      0.88     -0.23     -1.09     -5.30
     14.48      2.56      0.78      0.02     -3.07     -0.51      3.41      0.19     -0.94     -6.82
     15.09      3.35      0.93     -0.48     -3.32     -1.18      3.71      0.35     -0.19     -5.11
     15.71      3.18      0.62     -1.20     -4.46      0.00      6.30      0.67      0.45     -5.59
     16.33      3.15      1.01     -0.90     -3.04     -0.18      5.49      0.36      0.76     -3.43
     16.96      3.68      1.66     -0.44     -3.38      0.80      5.49     -0.14      0.22     -4.44
     17.58      3.55      2.61      0.08     -1.92      0.44      2.86      0.09     -0.46     -3.60
     18.21      2.84      2.57      0.50     -2.56      0.87      1.75     -0.12     -1.37     -3.90
     18.84      2.46      1.55      0.68     -2.34      0.83     -0.15      0.36     -0.97     -2.93
     19.47      2.88      0.73      1.12     -2.46      0.29     -0.85      0.20     -0.88     -2.85
     20.11      3.23      0.93      1.18     -2.42     -0.14     -1.45      0.27     -0.37     -2.49
     20.74      3.62      1.84      0.77     -2.56     -0.83     -0.85      0.82     -0.73     -2.07
     21.38      3.55      1.66      0.06     -2.46     -0.39     -0.71      0.37     -0.11     -1.86
     22.02      3.18      0.58      0.22     -1.91      0.14     -0.67     -0.18      1.49     -2.39
     22.67      3.32     -0.12      0.48     -1.63      0.25     -1.08     -0.41      1.33     -3.03
     23.32      4.07      0.35      0.54     -0.74      0.28     -1.02     -0.28      0.89     -2.67
     23.97      4.12      1.40      0.65     -0.45      0.17     -0.77     -0.14      0.46     -2.16
     24.62      3.80      1.93      1.08     -0.96     -0.42     -1.26     -0.86      1.57     -2.71
     25.28      3.91      1.53      1.47     -1.78     -0.35     -2.37     -1.10      2.34     -3.63
     25.94      3.29      1.06      1.66     -2.03     -0.57     -2.66     -1.21      2.50     -4.59
     26.61      1.76      1.38      2.01     -1.31     -1.41     -2.32     -1.61      4.08     -4.18
     27.28      1.60      1.98      2.23     -1.15     -1.96     -1.93     -1.25      5.73     -4.48
     27.95      3.28      2.05      2.38     -1.25     -1.73     -1.88     -0.82      6.23     -4.62
     28.63      4.54      1.97      3.50     -1.35     -1.10     -2.15     -1.10      6.13     -4.35
     29.31      4.18      2.54      5.85     -1.79     -1.30     -2.57     -2.03      7.13     -4.18
     30.00      3.33      3.70      8.06     -1.80     -1.30     -2.75     -2.20      8.59     -3.63
     30.69      3.23      4.57      9.05     -0.82      0.02     -1.94     -1.76      9.21     -3.31
     31.39      3.88      5.06      9.28      0.42      0.91     -0.83     -1.98      9.60     -2.43
     32.09      4.70      5.76     10.45      0.63      0.16     -0.92     -2.62     10.19     -1.20
     32.80      5.26      7.20     13.06     -0.90     -1.59     -1.97     -3.31     10.33     -1.19
     33.51      5.75      9.85     15.84     -2.50     -3.35     -1.56     -3.93      9.81     -2.20
     34.23      6.63     13.54     16.81     -2.63     -4.41      0.89     -4.49      9.70     -3.03
     34.95      7.90     17.12     16.24     -1.78     -3.83      4.10     -4.88     10.31     -2.09
     35.69      9.06     19.63     16.30     -1.76     -1.83      6.08     -5.01     10.24      0.31
     36.42      9.38     20.87     18.33     -2.38     -0.11      6.17     -4.63      9.00      2.67
     37.17      8.62     21.67     21.11     -1.96     -0.07      5.06     -3.46      7.85      4.01
     37.92      6.86     22.63     22.59     -1.01     -1.02      3.42     -2.05      7.05      4.04
     38.68      4.79     23.91     22.43     -1.22     -1.08      1.32     -1.30      5.87      2.61
     39.45      3.05     24.77     21.57     -3.12     -0.20     -0.94     -1.16      4.06      0.17
     40.23      2.17     24.30     21.05     -4.47      0.10     -2.59     -0.97      3.48     -1.80
     41.01      2.26     22.51     21.02     -3.62     -0.55     -2.88     -0.34      6.55     -2.18
     41.81      3.13     20.58     20.95     -1.92     -1.07     -1.80      0.24     10.05     -1.51
     42.61      4.15     19.86     20.46     -2.30     -0.69     -0.32      0.28     10.54     -0.89
     43.41      4.73     20.32     19.10     -5.15     -0.03      0.58     -0.00      6.21     -0.80
     44.20      4.45     20.79     17.00     -7.16      0.40      0.47      0.14      1.70     -0.73
     44.99      3.64     20.22     14.64     -4.90      0.47     -0.21      0.60      0.15     -0.49
     45.78      2.93     18.79     12.64     -0.39      0.37     -0.79      0.68      1.13     -0.37
     46.57      2.79     17.18     11.44      0.39     -0.09     -1.08     -0.12      0.56     -1.01
     47.36      3.16     16.20     10.66     -8.25     -0.99     -1.15     -0.87     -2.43     -2.13
     48.14      3.33     15.55     10.00    -23.20     -1.84     -1.47     -1.12     -6.38     -2.99
     48.92      3.08     15.21      9.21    -38.61     -1.79     -1.96     -0.65     -7.69     -2.99
     49.70      2.41     14.81      7.83    -46.97     -0.95     -2.42     -0.41     -5.58     -2.40
     50.48      1.95     13.75      5.34    -50.11     -0.28     -2.46     -1.00     -1.77     -2.02
     51.26      1.93     13.18      1.94    -53.18     -0.35     -2.00     -2.30     -0.53     -2.23
     52.03      2.67     11.51     -0.32    -63.47     -0.86     -1.43     -3.75     -5.82     -3.15
     52.80      3.10     11.05     -0.51    -81.78     -1.72     -1.27     -4.33    -17.94     -4.19
     53.57      3.22      9.58      0.77   -104.69     -2.53     -1.90     -4.21    -31.41     -5.25
     54.34      2.26      9.10      2.50   -125.99     -2.71     -3.06     -3.66    -38.23     -5.76
     55.11      1.35      8.46      4.34   -141.47     -1.96     -4.25     -3.48    -33.30     -6.09
     55.87     -0.06      7.76      4.79   -147.86     -0.36     -4.54     -3.85    -17.60     -6.25
     56.64     -0.95      7.83      2.84   -144.60      0.91     -3.76     -4.36      1.62     -6.26
     57.40     -1.57      6.73     -0.55   -133.18      1.22     -2.07     -5.40     14.88     -6.45
     58.16     -1.88      6.10     -4.92   -117.52      0.42     -0.46     -6.08     12.82     -6.34
     58.92     -2.35      4.01     -8.74   -101.50     -1.90      0.49     -6.93     -2.54     -6.54
     59.68     -3.05      2.04    -13.13    -86.67     -4.85      0.73     -7.31    -25.91     -6.55
# CH2 Time dependent Tb (K)
#    PCLAT      PJ01      PJ03      PJ04      PJ05      PJ06      PJ07      PJ08      PJ09      PJ12
    -59.68     -1.76     -0.58      2.19      3.61      0.77     -0.41     -3.72      2.09      1.66
    -58.92     -1.21     -0.08      0.75      3.51      0.77      0.28     -2.93      1.98      1.39
    -58.16     -0.82      0.29     -0.52      3.41      0.78      0.89     -2.29      1.87      1.17
    -57.40     -0.85      0.60     -1.18      3.34      0.78      1.45     -1.74      1.91      1.11
    -56.64     -0.72      0.62     -1.89      3.13      0.86      1.79     -1.29      1.98      1.18
    -55.87     -0.94      0.64     -2.14      2.97      1.05      1.88     -0.92      2.25      1.38
    -55.11     -1.07      0.36     -2.21      2.63      1.23      1.85     -0.75      2.57      1.64
    -54.34     -1.45      0.20     -1.92      2.36      1.48      1.55     -0.68      2.92      1.95
    -53.57     -1.57     -0.07     -1.30      1.93      1.84      1.31     -0.77      3.12      2.12
    -52.80     -1.73     -0.15     -0.59      1.55      2.12      0.87     -0.93      3.25      1.98
    -52.03     -1.58     -0.24      0.26      1.18      2.57      0.59     -1.14      3.17      1.75
    -51.26     -1.39     -0.14      0.92      0.95      2.68      0.30     -1.39      2.96      1.28
    -50.48     -1.09      0.01      1.63      0.95      2.92      0.27     -1.65      2.58      0.88
    -49.70     -0.78      0.24      1.83      1.23      2.88      0.33     -1.79      2.15      0.38
    -48.92     -0.67      0.48      1.86      1.75      2.89      0.67     -1.96      1.80      0.06
    -48.14     -0.40      0.80      1.29      2.39      2.70      1.06     -1.91      1.57     -0.19
    -47.36     -0.43      0.87      0.66      2.95      2.61      1.47     -2.00      1.57     -0.21
    -46.57     -0.19      0.69     -0.05      3.40      2.38      1.71     -1.76      1.79     -0.10
    -45.78     -0.15      0.12     -0.56      3.55      2.28      1.67     -1.78      2.16      0.03
    -44.99      0.18     -0.71     -0.78      3.40      2.05      1.31     -1.67      2.59      0.10
    -44.20      0.35     -1.97     -0.83      2.98      1.87      0.52     -1.86      2.89     -0.03
    -43.41      0.47     -3.14     -0.62      2.49      1.52     -0.43     -2.06      3.07     -0.28
    -42.61      0.45     -3.86     -0.10      2.23      1.16     -1.34     -2.38      3.14     -0.54
    -41.81      0.26     -3.86      0.75      2.16      0.76     -1.98     -2.56      3.09     -0.69
    -41.01     -0.00     -3.19      1.71      2.24      0.38     -2.21     -2.69      2.99     -0.71
    -40.23     -0.40     -2.22      2.68      2.26      0.01     -2.05     -2.72      2.76     -0.61
    -39.45     -0.56     -1.16      3.48      2.13     -0.24     -1.51     -2.71      2.50     -0.42
    -38.68     -0.74     -0.70      4.19      1.95     -0.39     -0.78     -2.37      2.20     -0.27
    -37.92     -0.84     -0.91      4.68      1.66     -0.42     -0.01     -1.77      1.95     -0.26
    -37.17     -1.33     -1.70      4.89      1.48     -0.46      0.64     -0.92      1.73     -0.46
    -36.42     -2.12     -2.70      4.70      1.34     -0.60      1.05     -0.11      1.58     -0.66
    -35.69     -3.10     -3.27      4.02      1.32     -0.86      1.19      0.56      1.60     -0.72
    -34.95     -3.75     -3.23      2.91      1.30     -1.27      1.09      0.82      1.82     -0.50
    -34.23     -3.71     -2.63      1.49      1.26     -1.65      0.88      0.64      2.10      0.00
    -33.51     -2.88     -1.79      0.20      1.20     -1.90      0.71     -0.07      2.27      0.51
    -32.80     -1.63     -1.01     -0.55      1.19     -1.90      0.65     -0.92      2.19      0.90
    -32.09     -0.50     -0.43     -0.44      1.19     -1.60      0.74     -1.81      1.82      0.95
    -31.39     -0.01      0.11      0.23      1.20     -1.12      0.98     -2.45      1.26      0.79
    -30.69     -0.15      0.77      1.02      1.19     -0.66      1.24     -2.96      0.71      0.56
    -30.00     -0.51      1.58      1.44      1.14     -0.58      1.42     -3.48      0.38      0.42
    -29.31     -0.69      2.27      1.35      0.97     -0.91      1.32     -4.11      0.35      0.48
    -28.63     -0.68      2.60      0.78      0.44     -1.43      1.05     -4.84      0.56      0.66
    -27.95     -0.68      2.52      0.10     -0.30     -1.65      0.83     -5.28      0.71      0.84
    -27.28     -0.76      1.96     -0.35     -0.71     -1.54      1.05     -5.36      0.62      0.87
    -26.61     -0.76      1.29     -0.34     -0.26     -1.37      1.96     -4.92      0.31      0.69
    -25.94     -0.62      0.98      0.10      0.71     -1.56      3.43     -4.23      0.17      0.35
    -25.28     -0.50      1.12      0.67      1.25     -1.91      5.01     -3.36      0.40     -0.12
    -24.62     -0.56      1.40      0.98      0.80     -1.98      6.01     -2.59      0.92     -0.66
    -23.97     -0.73      1.42      0.72      0.01     -1.51      6.11     -2.00      1.34     -1.30
    -23.32     -0.71      1.02      0.10     -0.08     -0.88      5.46     -1.67      1.50     -1.80
    -22.67     -0.45      0.31     -0.25      0.66     -0.62      4.54     -1.55      1.50     -2.02
    -22.02     -0.26     -0.22      0.06      1.37     -0.85      3.69     -1.43      1.53     -1.80
    -21.38     -0.29     -0.19      0.72      1.44     -1.27      2.95     -1.33      1.43     -1.51
    -20.74     -0.16      0.13      1.02      1.04     -1.37      2.49     -1.26      1.13     -1.31
    -20.11      0.12      0.10      0.72      0.70     -1.06      2.43     -1.39      0.83     -1.26
    -19.47      0.09     -0.44      0.28      0.66     -0.62      2.62     -1.66      0.87     -1.07
    -18.84     -0.17     -1.05      0.07      0.75     -0.52      2.94     -1.97      1.07     -0.53
    -18.21     -0.02     -1.37      0.11      0.73     -0.97      3.72     -2.15      1.09      0.06
    -17.58      0.34     -1.54      0.12      0.59     -1.70      5.26     -2.21      0.71      0.36
    -16.96      0.18     -1.79      0.11      0.49     -2.19      7.09     -2.29      0.25      0.03
    -16.33     -0.35     -2.20      0.33      0.35     -2.08      8.81     -2.46     -0.10     -0.47
    -15.71     -0.62     -2.58      0.75      0.12     -1.55     10.23     -2.57     -0.26     -0.63
    -15.09     -0.62     -2.62      0.89      0.05     -1.05     10.64     -2.48     -0.16     -0.35
    -14.48     -0.88     -2.00      0.59     -0.10     -0.96      9.41     -2.22      0.21     -0.22
    -13.86     -1.07     -0.96      0.42     -0.42     -1.33      7.25     -1.99      0.58     -0.54
    -13.25     -0.75     -0.22      0.56     -0.52     -1.65      5.50     -1.88      0.76     -0.84
    -12.64     -0.38     -0.13      0.73     -0.22     -1.59      4.43     -1.87      0.95     -0.76
    -12.02     -0.28     -0.26      0.68      0.06     -1.38      3.50     -1.89      1.43     -0.47
    -11.42     -0.24     -0.18      0.42     -0.09     -1.40      2.56     -1.83      2.05     -0.35
    -10.81     -0.03     -0.17      0.23     -0.08     -1.70      2.05     -1.93      2.53     -0.55
    -10.20      0.15     -0.40      0.49      0.38     -1.51      1.82     -2.44      2.57     -0.71
     -9.59     -0.29     -0.70      0.74      0.87     -0.71      1.46     -2.79      2.23     -0.47
     -8.99     -0.55     -0.66      0.55      0.59     -0.53      1.08     -2.33      1.81      0.16
     -8.39     -0.23     -0.24      0.44      0.23     -1.03      0.89     -1.50      1.60      0.41
     -7.78     -0.17      0.16      0.46      0.12     -1.57      0.93     -1.31      1.58      0.15
     -7.18     -0.16      0.24      0.47      0.43     -1.53      0.82     -1.54      1.35     -0.30
     -6.58     -0.37      0.17      0.41      0.96     -0.95      0.59     -1.55      0.95     -0.63
     -5.98     -0.16      0.01      0.78      0.89     -0.70      0.38     -1.66      0.95     -0.70
     -5.38      0.15      0.19      1.03      0.81     -0.58      0.19     -1.97      1.14     -0.62
     -4.78      0.34      0.23      0.41      0.48     -0.55     -0.13     -2.28      0.90     -0.53
     -4.18      0.58     -0.10      0.04      0.86     -0.68      0.16     -2.16      0.60     -0.30
     -3.58      0.48      0.00      0.24      1.01     -0.63      0.46     -2.20      0.56     -0.08
     -2.99      0.56     -0.18      0.55      1.51     -0.54      0.27     -2.64      0.94      0.61
     -2.39      0.88      0.07      1.02      0.63     -0.16     -0.10     -3.08      1.13      0.90
     -1.79      0.65      0.32      1.69      1.03      0.39     -0.61     -3.30      0.88      0.43
     -1.19      0.14      0.39      1.65      0.57      0.20     -0.53     -2.75      0.69     -0.11
     -0.60      0.19      0.32      1.22      1.08      0.11     -0.14     -1.68     -0.04     -0.74
      0.00      0.39     -0.17      0.61      1.23     -0.19      1.12     -1.11     -0.30     -1.07
      0.60      1.23     -0.26      0.49      1.10      0.30      1.23     -1.50     -0.56     -1.74
      1.19      0.25      0.38     -0.01      1.44      1.28      1.68     -2.68     -0.73     -2.16
      1.79     -0.02      0.71      0.31      0.61      1.48      0.43     -4.63     -1.17     -1.92
      2.39      0.46      0.90      0.63      0.60      2.05      0.71     -5.46     -1.89     -1.45
      2.99      1.11      0.90      0.29      0.37      1.21      0.23     -6.51     -2.28     -1.30
      3.58      2.12      1.73     -0.36      0.51      1.74     -0.13     -5.98     -2.28     -1.63
      4.18      1.73      2.36      0.26      1.07      1.44     -1.54     -5.86     -2.41     -2.08
      4.78      2.35      2.02      1.19      1.22      1.91     -2.17     -5.28     -2.19     -2.88
      5.38      2.04      1.12      1.02      0.92      1.54     -1.90     -5.83     -2.39     -3.85
      5.98      1.58      0.49     -0.09      0.01      1.64     -0.41     -6.17     -2.97     -4.26
      6.58      1.40      0.39     -0.74     -0.72      1.41      0.17     -6.62     -3.33     -4.15
      7.18      0.87      0.35      0.24     -0.39      0.93      1.52     -5.45     -2.22     -3.31
      7.78      0.20      0.38      0.42      0.91      0.74      2.11     -3.08      1.04     -0.96
      8.39     -0.71     -0.29     -0.02      1.55     -0.28      2.46     -0.79      2.96      1.26
      8.99     -0.80     -0.36     -0.21      1.15     -0.13      2.06      0.01      3.31      2.29
      9.59     -0.47     -0.90      0.40     -0.82     -0.69      1.41     -0.75      3.06      1.25
     10.20      0.25     -0.85      1.17     -1.79     -0.36      1.36     -1.44      3.04      0.51
     10.81      0.84     -1.06      0.35     -1.62     -0.30      0.34     -1.32      2.59      0.39
     11.42      1.36     -1.23     -0.06     -0.76     -0.41     -0.85     -1.36      2.43      0.53
     12.02      1.10     -1.19      0.05     -0.48     -0.30     -1.57     -1.42      2.65      0.53
     12.64      0.74     -1.32      0.09     -0.41     -0.46     -0.09     -1.80      3.53     -0.64
     13.25      0.58     -1.54      0.02     -0.25     -0.29      2.23     -1.96      3.20     -1.96
     13.86      0.36     -2.29     -0.08     -0.21     -0.67      4.58     -1.81      3.39     -2.99
     14.48      0.68     -2.55     -0.15     -0.15     -0.60      6.00     -0.80      3.72     -2.63
     15.09      1.39     -1.95     -0.12     -0.89     -0.83      7.74     -0.80      3.84     -2.00
     15.71      2.10     -1.32     -0.40     -0.40     -0.33      8.63     -0.32      3.66     -1.13
     16.33      2.02     -0.43     -0.18     -0.80     -0.09      8.49     -1.17      2.84     -0.27
     16.96      1.38      0.88      0.12     -0.12     -0.28      7.60     -1.27      2.76     -0.14
     17.58      0.97      1.62      0.27     -0.50      0.15      5.87     -1.49      2.50     -0.08
     18.21      0.45      0.83      0.31     -0.21     -0.48      4.30     -1.63      2.41     -0.03
